Values for DEVICE01 from 11-Apr-16 00:00:00.0 to 11-Apr-16 01:40:00.0
Tagname : SENS_01
11-Apr-16 00:10:01.4          12.317
11-Apr-16 00:20:01.7          17.312
11-Apr-16 00:30:01.6          18.385
11-Apr-16 00:40:01.4          15.847
11-Apr-16 00:50:01.8          16.605
11-Apr-16 01:00:01.2          15.489
11-Apr-16 01:10:01.4          18.980
11-Apr-16 01:20:01.3          11.017
11-Apr-16 01:30:01.4          10.374
Tagname : SENS_02
11-Apr-16 00:10:01.4          11.317
11-Apr-16 00:20:01.7          11.312
11-Apr-16 00:30:01.6          11.385
11-Apr-16 00:40:01.4          11.847
11-Apr-16 00:50:01.8          11.605
11-Apr-16 01:00:01.2          11.489
11-Apr-16 01:10:01.4          11.980
11-Apr-16 01:20:01.3          11.017
11-Apr-16 01:30:01.4          11.374
Tagname : SENS_03
11-Apr-16 00:10:01.4          94.317
11-Apr-16 00:20:01.7          94.312
11-Apr-16 00:30:01.6          90.385
11-Apr-16 00:40:01.4          88.847
11-Apr-16 00:50:01.8          84.605
11-Apr-16 01:00:01.2          86.489
11-Apr-16 01:10:01.4          88.980
11-Apr-16 01:20:01.3          89.017
11-Apr-16 01:30:01.4          98.374
Tagname : 
Not existing : 
End of Data
