Time,Device,Sensor1,Sensor2,Sensor3,Sensor4
2015-11-06T01:50:00Z,cc-00-00-b2-11-1a,1000,100,10,1
2015-11-06T01:50:30Z,cc-00-00-b2-11-1a,999,99,9,0
2015-11-06T01:51:00Z,cc-00-00-b2-11-1a,998,98,8,-1
2015-11-06T01:51:30Z,cc-00-00-b2-11-1a,997,97,7,-2
2015-11-06T01:50:00Z,cc-00-00-b2-11-1b,1000,100,10,1
2015-11-06T01:50:30Z,cc-00-00-b2-11-1b,999,99,9,0
2015-11-06T01:51:00Z,cc-00-00-b2-11-1b,998,98,8,-1
2015-11-06T01:51:30Z,cc-00-00-b2-11-1b,997,97,7,-2
2015-11-06T01:50:00Z,cc-00-00-b2-11-1c,1000,100,10,1
2015-11-06T01:50:30Z,cc-00-00-b2-11-1c,999,99,9,0
2015-11-06T01:51:00Z,cc-00-00-b2-11-1c,998,98,8,-1
2015-11-06T01:51:30Z,cc-00-00-b2-11-1c,997,97,7,-2

