Time,Device,Sensor1,Sensor2
2016-11-07T01:50:00Z,cc-00-00-b2-11-1a,1000,100
2016-11-07T01:50:30Z,cc-00-00-b2-11-1a,999,99
2016-11-07T01:51:00Z,cc-00-00-b2-11-1a,998,98
2016-11-07T01:51:30Z,cc-00-00-b2-11-1a,997,97
2016-11-07T01:50:00Z,cc-00-00-b2-11-1b,1000,100
2016-11-07T01:50:30Z,cc-00-00-b2-11-1b,999,99
2016-11-07T01:51:00Z,cc-00-00-b2-11-1b,998,98
2016-11-07T01:51:30Z,cc-00-00-b2-11-1b,997,97
2016-11-07T01:50:00Z,cc-00-00-b2-11-1c,1000,100
2016-11-07T01:50:30Z,cc-00-00-b2-11-1c,999,99
2016-11-07T01:51:00Z,cc-00-00-b2-11-1c,998,98
2016-11-07T01:51:30Z,cc-00-00-b2-11-1c,997,97

