BATE   391;TIME        ;d000;d001;d00D;d003;d004;d005;d006;d007;d008;d009;d010;d011;d01D;d013;d014;d015;d016;d017;d018;d019;d0D0
31-03-D016;00:00:33.895;0006;009C;00B0;00BD;AAE6;AAC3;005A;D70C;0B01;00BB;0103;076A;000C;16A1;0015;001D;0014;0014;1480;14A7;1496
31-03-D016;00:01:33.895;0007;009C;00AA;00B0;AAE6;AACD;0050;D70B;0CAA;00BC;010D;076A;0009;169A;0016;0013;0015;0015;147E;14A4;149D
31-03-D016;00:0D:33.895;0006;009C;00AA;00AA;AAE7;AACD;004B;D70C;0B01;00BC;00AB;076C;000B;169B;0015;0014;0015;0015;147C;14A1;148A
31-03-D016;00:03:33.895;0007;009B;00B0;00BD;AAE6;AACD;003A;D70B;0B01;00BA;00AB;0769;000E;1698;0015;0013;0015;0015;1478;149B;148C
31-03-D016;00:04:33.895;0007;009C;00AA;00B0;AAE7;AAC5;003E;D70B;0B01;00BA;00AA;0769;0009;1694;0016;001D;0015;0015;1475;149A;1489
31-03-D016;00:05:33.895;0006;009C;00AA;00AA;AAE6;AACD;003B;D70C;0B01;00BB;00AB;0765;0006;169D;0015;0013;0016;0015;1473;1496;1484
31-03-D016;00:06:33.895;0006;009C;00B0;00BD;AAE7;AACD;0058;D70C;0CAA;00BA;00AB;076D;0006;168B;0015;001D;0015;0015;1470;149D;1481
31-03-D016;00:07:33.895;0006;009C;00AA;00BD;AAE6;AAC3;0048;D70B;0B01;00BC;00AB;076D;000B;1689;0014;0014;0014;0014;146B;1491;147B
31-03-D016;00:08:33.895;0007;009C;00AA;00AA;AAE6;AAC3;0044;D70B;0B01;00BC;00AC;076D;000C;1687;0014;001D;0015;0014;146B;148B;147A
31-03-D016;00:09:33.895;0006;009B;00AA;00B0;AAE6;AAC3;003E;D70C;0CAA;00BC;00AA;075B;000A;168D;0015;0013;0017;0015;1468;1489;1477
