Values for DEVICE01 from 05-APR-16 00:00:00.0 to 06-APR-16 01:40:00.0
Tagname : SENS_01
05-APR-16 00:10:01.4          12.317
05-APR-16 00:20:01.7          17.312
05-APR-16 00:30:01.6          18.385
05-APR-16 00:40:01.4          15.847
05-APR-16 00:50:01.8          16.605
05-APR-16 01:00:01.2          15.489
05-APR-16 01:10:01.4          18.980
05-APR-16 01:20:01.3          11.017
05-APR-16 01:30:01.4          10.374
Tagname : SENS_02
05-APR-16 00:10:01.4          11.317
05-APR-16 00:20:01.7          11.312
05-APR-16 00:30:01.6          11.385
05-APR-16 00:40:01.4          11.847
05-APR-16 00:50:01.8          11.605
05-APR-16 01:00:01.2          11.489
05-APR-16 01:10:01.4          11.980
05-APR-16 01:20:01.3          11.017
05-APR-16 01:30:01.4          11.374
Tagname : SENS_03
05-APR-16 00:10:01.4          94.317
05-APR-16 00:20:01.7          94.312
05-APR-16 00:30:01.6          90.385
05-APR-16 00:40:01.4          88.847
05-APR-16 00:50:01.8          84.605
05-APR-16 01:00:01.2          86.489
05-APR-16 01:10:01.4          88.980
05-APR-16 01:20:01.3          89.017
05-APR-16 01:30:01.4          98.374
Tagname : 
Not existing : 
End of Data
